그냥 너무 약간 진짜 연,그냥 너무 약간 진짜 연
둘이 연인같고 막  약간 이런 현실적이고 막 진짜,둘이 연인같고 막  약간 이런 현실적이고 막 진짜
와 이게 왜 다들 이게 많은 사람의 인생작이라 하는지 알겠는거야.,와 이게 왜 다들 이게 많은 사람의 인생작이라 하는지 알겠는거야.
막 그런 거?,막 그런 거?
그것 좀 다시 보고 싶고.,그것 좀 다시 보고 싶고.
막 그런거 있잖아 쫌,막 그런거 있잖아 조금
하이틴 이런 것도 나 진짜 많이 봤어.,하이틴 이런 것도 나 진짜 많이 봤어.
드림하이 다 보고,드림하이 다 보고
학교시리즈도 보고,학교시리즈도 보고
뭐~ 그런 것도 보고 근데 요즘에는 그런 거 못 보겠더라 쫌.,뭐~ 그런 것도 보고 근데 요즘에는 그런 거 못 보겠더라 조금.
너무 유치하고 오글거리는건 요즘엔 좀 못보겠더라 옛날에는 많이 봤는데.,너무 유치하고 오글거리는건 요즘엔 좀 못보겠더라 옛날에는 많이 봤는데.
그래서 요즘에는,그래서 요즘에는
나 요즘엔 딱히 볼게 없어 요즘 방송하는 거는,나 요즘엔 딱히 볼게 없어 요즘 방송하는 거는
최근에 본 거가 뭐 있지?,최근에 본 거가 뭐 있지?
사랑의 불시착 뭐~ 이런거?,사랑의 불시착 뭐~ 이런거?
그건 진짜 좋았는 재미있었는데,그건 진짜 좋았는 재미있었는데
요즘 나온 건 딱히,요즘 나온 건 딱히
모르겠어 그~ 이동욱 나온 지금 구미호뎐 그거,모르겠어 그~ 이동욱 나온 지금 구미호뎐 그거
또 기대 많이 했는데,또 기대 많이 했는데
생각보다 내 스타일 아니여가지고 보다 말았고,생각보다 내 스타일 아니여가지고 보다 말았고
그래서 요즘엔 좀 옛날  드라마 다시 돌려보는?,그래서 요즘엔 좀 옛날  드라마 다시 돌려보는?
응답하라 시리즈 다시 돌려보고 막,응답하라 시리즈 다시 돌려보고 막
닌 응답하라 시리즈 중에서 뭐가 제일 좋아 세 개 중에?,넌 응답하라 시리즈 중에서 뭐가 제일 좋아 세 개 중에?
그~ 응답하라 일구구칠에 서인국 있다면 이제 에는,그~ 응답하라 일구구칠에 서인국 있다면 이제 에는
거의 가 있었지 라고 나는 생각을 해.,거의 가 있었지 라고 나는 생각을 해.
라고 사람들이 말하면 조금 이상하게 쳐다보겠지만.,라고 사람들이 말하면 조금 이상하게 쳐다보겠지만.
뭐~ 착각은 자유니까 뭐~ 그렇게 나는 살아왔다라고,뭐~ 착각은 자유니까 뭐~ 그렇게 나는 살아왔다라고
라 할 것 같고,라 할 것 같고
나는 드라마를 보면 니가 이제,나는 드라마를 보면 너가 이제
여자한테 입스 니가 여성이니까 여자한테 몰입을 한다고 했잖아.,여자한테 입스 니가 여성이니까 여자한테 몰입을 한다고 했잖아.
나는 남자임에도 불구하고 여자한테 주로 몰입을 하거든.,나는 남자임에도 불구하고 여자한테 주로 몰입을 하거든.
이게 약간 이상할 수도 있는데 약간 내가,이게 약간 이상할 수도 있는데 약간 내가
이쁜 사람보다 잘생긴 사람을 더 좋아하나 봐 그래서,이쁜 사람보다 잘생긴 사람을 더 좋아하나 봐 그래서
잘 캔 잘생긴 사람을 무조건 많이 보거든.,잘 캔 잘생긴 사람을 무조건 많이 보거든.
또 고삼 얘기긴 하지만,또 고삼 얘기긴 하지만
유투브 같은 거 봐도,유투브 같은 거 봐도
서인국 서강준 우도환,서인국 서강준 우도환
그리고 또 누구 있지?,그리고 또 누구 있지?
갑자기 생각이 안 나는데 진짜 그~,갑자기 생각이 안 나는데 진짜 그~
완전히 송중기와 엇비슷하게 결이 비슷하신 분이 있거든.,완전히 송중기와 엇비슷하게 결이 비슷하신 분이 있거든.
그래서 그분도 진짜 많이 보고 했어.,그래서 그분도 진짜 많이 보고 했어.
그래서 그래서 맨날 따라 했는 거 같애 그 남자들보고 아~ 이 정도로 설렌다고?,그래서 그래서 맨날 따라 했는 거 같애 그 남자들보고 아~ 이 정도로 설렌다고?
그래서 이제,그래서 이제
물론 여자들한테 잘 안했지.,물론 여자들한테 잘 안했지.
몇번 했다가 너무 벌레 쳐다보듯이 봐서,몇번 했다가 너무 벌레 쳐다보듯이 봐서
잘 안하긴 했는데,잘 안하긴 했는데
그랬고 드라마 같은 경우 다시 보고 싶은 거는,그랬고 드라마 같은 경우 다시 보고 싶은 거는
딱히 없는 거 같애,딱히 없는 거 같애
그까 누가 한 명 날 진짜,그러니까 누가 한 명 날 진짜
의자에 묶어서라도 한 드라마 한 개로도 다 볼수 있게 해주면 좋을 거 같긴 한데,의자에 묶어서라도 한 드라마 한 개로도 다 볼수 있게 해주면 좋을 거 같긴 한데
드라마 진짜 제대로 앉아서 잘 못 보거든?,드라마 진짜 제대로 앉아서 잘 못 보거든?
영화도 약간 돈 낸 게있으니까 보는거고,영화도 약간 돈 낸 게있으니까 보는거고
약간 집중력 장애일 수도 있는데 약간 잘 보는걸,약간 집중력 장애일 수도 있는데 약간 잘 보는걸
오랫동안 보는걸 재미있어 하긴 하지만,오랫동안 보는걸 재미있어 하긴 하지만
잘하진 못한다,잘하진 못한다
같고,같고
니가 진짜 드라마 설명 잘 해줄 수 있는 거 있나?,니가 진짜 드라마 설명 잘 해줄 수 있는 거 있니?
나는,나는
지금 드라마 생각을 해보면,지금 드라마 생각을 해보면
아~ 내가 요 근래 요,아~ 내가 요 근래 요
근래 가장 최근에 봤던 클립이 그~ 응답하라 일구구사란 말이야.,근래 가장 최근에 봤던 클립이 그~ 응답하라 일구구사란 말이야.
근데 그건 내가 다 보진 않았어.,근데 그건 내가 다 보진 않았어.
그~ 다른 시리즈물은 진짜 첨부터 끝까지 다 봤거든?,그~ 다른 시리즈물은 진짜 첨부터 끝까지 다 봤거든?
근데 그건 한 중반 까지밖에 안 봤단 말야 왜냐면,근데 그건 한 중반 까지밖에 안 봤단 말야 왜냐면
그땐 내가 고등학생이었으니까 뭔가 이~ 대학교 이야기가 너무 안 와닿는 거야.,그땐 내가 고등학생이었으니까 뭔가 이~ 대학교 이야기가 너무 안 와닿는 거야.
근데 이제 내가 대학을 왔고?,근데 이제 내가 대학을 왔고?
이제 나는 신촌에 있고?,이제 나는 신촌에 있고?
이러니까 뭔가 되게 오 되게 우리 얘기 같다 그리고 우리 둘 다,이러니까 뭔가 되게 오 되게 우리 얘기 같다 그리고 우리 둘 다
대구에서 이렇게 올라온 거잖아 서울에 근데 거기 애들도 올라온 거란 말야.,대구에서 이렇게 올라온 거잖아 서울에 근데 거기 애들도 올라온 거란 말야.
케 경상도  여기저기서,케 경상도  여기저기서
서 막 그런 거 보면서 진짜 감정이입 많이 되고 막 초반에 막 막 부모님 이런거 막,서 막 그런 거 보면서 진짜 감정이입 많이 되고 막 초반에 막 막 부모님 이런거 막
뒤 고향 생각 이런거 할 때 나도 막 기숙사에서 겁나 막 그런 거 보면서 생각하고 막 그랬단 말야.,뒤 고향 생각 이런거 할 때 나도 막 기숙사에서 굉장히 막 그런 거 보면서 생각하고 막 그랬단 말야.
그~ 막 그~ 응답하라 가 그~ 연대생들 이야긴데,그~ 막 그~ 응답하라 가 그~ 연대생들 이야긴데
그~ 마산에서 올라와 가지고 하숙집 하는데 거기에 경상도 사람 전라도 사람,그~ 마산에서 올라와 가지고 하숙집 하는데 거기에 경상도 사람 전라도 사람
충청도 사람 막 서울 사람을 이렇게 있어가지고 가 다 있어.,충청도 사람 막 서울 사람을 이렇게 있어가지고 가 다 있어.
그렇게 해서 그냥 대학생활 이야기란 말야?,그렇게 해서 그냥 대학생활 이야기란 말야?
근데 막,근데 막
뭐~ 초반에는 뭔 인 어~ 일단 이 사람들도 상경한 사람이니까 막,뭐~ 초반에는 뭔 인 어~ 일단 이 사람들도 상경한 사람이니까 막
서울 애들이 왜 그러잖아 막 난 어디어디서 왔다 하면 막,서울 애들이 왜 그러잖아 막 난 어디어디서 왔다 하면 막
거기 지하철 있냐고 거기 막 써브웨이 있냐고 막 물어보고 막 그런 거 있잖아 그런 약 이건 옛날이긴 하지만 구 십 사 년도니까 하여튼,거기 지하철 있냐고 거기 막 써브웨이 있냐고 막 물어보고 막 그런 거 있잖아 그런 약 이건 옛날이긴 하지만 구 십 사 년도니까 하여튼
막 그런 거 보면서 막 겁나 공감하고 막,막 그런 거 보면서 막 굉장히 공감하고 막
그런 거 보고 막 그러고,그런 거 보고 막 그리고
지금 끝까지 안 봐 가주고 끝에 내용 모르겠는데 하여튼 그런 쪽의 내용?,지금 끝까지 안 봐 가지고 끝에 내용 모르겠는데 하여튼 그런 쪽의 내용?
그래서  보통 응답하라 시리즈 세 개 중에,그래서  보통 응답하라 시리즈 세 개 중에
일 구 구 사가 가장 뭐라해야되지,일 구 구 사가 가장 뭐라해야되지
팬 마니아가 많다고 하잖아  처음엔  이해 안됐거든 나는,팬 마니아가 많다고 하잖아  처음엔  이해 안됐거든 나는
딴거 다 봤는데 딴거 너무 재밌어 근데,다른거 다 봤는데 다른거 너무 재밌어 근데
요즘 좀 이해 해,요즘 좀 이해 해
진짜 약간 진짜 잘 만든거 같다.,진짜 약간 진짜 잘 만든거 같다.
일구구사가.,일구구사가.
그런 거 보면서 막 넉,그런 거 보면서 막 넉
첨 올라왔을때 이랬고 서울 지리 하나도 몰라서 왁,첨 올라왔을때 이랬고 서울 지리 하나도 몰라서 왁
어려웠고 막,어려웠고 막
서울 애들이 막 니 뭐~ 사투리 써 보라 하고,서울 애들이 막 너 뭐~ 사투리 써 보라 하고
막 거기 뭐 있냐 물어보는 애들 막 이런 거 보고 막 그리고 거기 서울 사람 나오잖아,막 거기 뭐 있냐 물어보는 애들 막 이런 거 보고 막 그리고 거기 서울 사람 나오잖아
그래가지구  저런게 서울 사람인가 하는 그런 환상도 갖고 막 그랬단 그랬지 뭐~,그래가지구  저런게 서울 사람인가 하는 그런 환상도 갖고 막 그랬단 그랬지 뭐~
나는 옛날에 집에 티비 있을때는,나는 옛날에 집에 티비 있을때는
그냥 매번 챙겨봤거든 근데 요즘엔 티비가 없으니까,그냥 매번 챙겨봤거든 근데 요즘엔 티비가 없으니까
약간 몰아보거나 넷플릭스 이런걸 보는데,약간 몰아보거나 넷플릭스 이런걸 보는데
나도 요즘에 막 뭔가 아~ 이걸 봐야겠다,나도 요즘에 막 뭔가 아~ 이걸 봐야겠다
이렇게 해야서 막 처음부터 끝까지 이거를 열 다섯번 보고 이건 조금 힘든 거 같긴 해.,이렇게 해야서 막 처음부터 끝까지 이거를 열 다섯번 보고 이건 조금 힘든 거 같긴 해.
요즘은 쫌 쭐여져있는 그런 거 보고?,요즘은 조금 줄여져있는 그런 거 보고?
막 그런 거 봐,막 그런 거 봐
니 뭐~ 미드나 영 미국 드라마 영국 드라마 이런건 안 보나 나는 영국 드라마도 봤는데 미국 드라마 이런 것도,너 뭐~ 미드나 영 미국 드라마 영국 드라마 이런건 안 보니 나는 영국 드라마도 봤는데 미국 드라마 이런 것도
그런것도 재밌는거 있는데 니는,그런것도 재밌는거 있는데 너는
우리나라꺼만 봐?,우리나라꺼만 봐?
이제 미국 드라마랑 영국 드라마랑 이제,이제 미국 드라마랑 영국 드라마랑 이제
셜록 이런건,셜록 이런건
그때는 내 또 철학 있는데 수업시간때는 수업 열심히 듣자 라는 철학이 있어서,그때는 내가 또 철학 있는데 수업시간때는 수업 열심히 듣자 라는 철학이 있어서
아~ 셜록 틀어주면 진짜 열심히 봤거든?,아~ 셜록 틀어주면 진짜 열심히 봤거든?
근데 굳이 또 혼자 찾아볼 정도에는 아니었고,근데 굳이 또 혼자 찾아볼 정도에는 아니었고
영어 자막은 무조건 있어야 되고 자막있고 할려고 하면 이제,영어 자막은 무조건 있어야 되고 자막있고 할려고 하면 이제
영드 이런건 직접 막,영드 이런건 직접 막
티비에 나오기보다는 사서 봐야 되잖아 그래서,티비에 나오기보다는 사서 봐야 되잖아 그래서
난 넷플릭스 왓챠 이런거 사도,난 넷플릭스 왓챠 이런거 사도
한 달 막 무료 무료 이용권같은걸 주는데,한 달 막 무료 무료 이용권같은걸 주는데
제대로 본 게 없어,제대로 본 게 없어
내 기억엔 다 찔끔찔끔 보다가 썸네일 아니면 뭐~ 소개 유투버 이끌려서 조금씩 보다가,내 기억엔 다 찔끔찔끔 보다가 썸네일 아니면 뭐~ 소개 유투버 이끌려서 조금씩 보다가
절대 안 보고 다 그랬지,절대 안 보고 다 그랬지
약간 집중력 장애라고 생각할 수 있는데 진짜로,약간 집중력 장애라고 생각할 수 있는데 진짜로
근데 그만큼 지속적으로 볼만한게 잘 없는것 같,근데 그만큼 지속적으로 볼만한게 잘 없는것 같
그리고 응답하라,그리고 응답하라
